pair,entry_time,exit_time,entry_price,exit_price,peak_price,structure_high,pnl,pnl_pct,bars_to_exit,peak_capture,exit_reason
MMGA_AUnGegrD,2026-06-29 22:17:00+00:00,2026-06-29 22:19:00+00:00,0.00011773,0.00012497,0.0001255,0.00012422,7.24e-06,6.1492,2,93.23,case1_divergence_fulfilled
MMGA_AUnGegrD,2026-06-29 22:20:00+00:00,2026-06-29 22:21:00+00:00,0.00012656,0.00012822,0.00012841,0.00012422,1.66e-06,1.3142,1,89.82,case1_divergence_fulfilled
MMGA_AUnGegrD,2026-06-29 22:22:00+00:00,2026-06-29 22:23:00+00:00,0.00012784,0.00012466,0.00012825,0.00012422,-3.19e-06,-2.4921,1,0.0,case1_divergence_fulfilled
MMGA_AUnGegrD,2026-06-29 22:24:00+00:00,2026-06-29 22:25:00+00:00,0.00012746,0.00012602,0.00012758,0.00012422,-1.44e-06,-1.1264,1,0.0,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-29 21:25:00+00:00,2026-06-29 21:26:00+00:00,0.00044306,0.00045308,0.00046087,0.00043935,1.002e-05,2.2615,1,56.26,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-29 21:27:00+00:00,2026-06-29 21:28:00+00:00,0.0004562,0.00046772,0.00047112,0.00043935,1.152e-05,2.5252,1,77.2,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-29 21:29:00+00:00,2026-06-29 21:30:00+00:00,0.0004849,0.00046708,0.00049849,0.00043935,-1.781e-05,-3.6738,1,-100.0,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-29 21:31:00+00:00,2026-06-29 21:32:00+00:00,0.00042598,0.00048331,0.00049005,0.00043935,5.733e-05,13.4582,1,89.49,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-29 21:33:00+00:00,2026-06-29 21:34:00+00:00,0.00046243,0.00044975,0.00049586,0.00043935,-1.269e-05,-2.7432,1,-37.96,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-29 23:35:00+00:00,2026-06-29 23:36:00+00:00,0.00023219,0.00025239,0.00028586,0.00022566,2.02e-05,8.6981,1,37.63,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-29 23:37:00+00:00,2026-06-29 23:38:00+00:00,0.00025718,0.00025602,0.0002716,0.00022566,-1.16e-06,-0.4502,1,-8.03,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-29 23:39:00+00:00,2026-06-29 23:40:00+00:00,0.00023563,0.00024633,0.00025808,0.00022566,1.07e-05,4.541,1,47.67,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-29 23:41:00+00:00,2026-06-29 23:42:00+00:00,0.00025192,0.00025494,0.00026814,0.00022566,3.01e-06,1.1961,1,18.58,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-30 00:28:00+00:00,2026-06-30 00:45:00+00:00,0.00026596,0.00022864,0.0002755,0.00026065,-3.732e-05,-14.0336,17,-100.0,case3_bearish_volume
MMGA_EkPVEbbQ,2026-06-30 00:46:00+00:00,2026-06-30 00:54:00+00:00,0.00022924,0.00019626,0.00023626,0.00027219,-3.298e-05,-14.3867,8,-100.0,case3_bearish_volume
MMGA_EkPVEbbQ,2026-06-30 02:37:00+00:00,2026-06-30 02:44:00+00:00,0.00015367,0.00015912,0.00015997,0.00015717,5.46e-06,3.5504,7,86.57,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-30 04:06:00+00:00,2026-06-30 04:07:00+00:00,0.00017075,0.00016706,0.00017256,0.00016161,-3.69e-06,-2.1616,1,-100.0,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-30 04:08:00+00:00,2026-06-30 04:09:00+00:00,0.00016197,0.00017136,0.00017136,0.00016161,9.39e-06,5.7944,1,100.0,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-30 04:10:00+00:00,2026-06-30 04:11:00+00:00,0.00017878,0.00019391,0.00020273,0.00016161,1.513e-05,8.4628,1,63.17,case1_divergence_fulfilled
MMGA_EkPVEbbQ,2026-06-30 04:55:00+00:00,2026-06-30 05:34:00+00:00,0.00011971,9.217e-05,0.00013995,0.00014038,-2.754e-05,-23.0057,39,-100.0,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-29 11:25:00+00:00,2026-06-29 11:30:00+00:00,4.021e-05,4.022e-05,4.029e-05,3.988e-05,1e-08,0.0254,3,0.0,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-29 11:31:00+00:00,2026-06-29 11:33:00+00:00,3.969e-05,3.844e-05,4.022e-05,3.988e-05,-1.26e-06,-3.1658,1,-100.0,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-29 11:34:00+00:00,2026-06-29 11:37:00+00:00,3.804e-05,3.78e-05,3.844e-05,3.988e-05,-2.4e-07,-0.6266,2,-59.49,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-29 11:39:00+00:00,2026-06-29 11:43:00+00:00,3.761e-05,3.754e-05,3.78e-05,3.988e-05,-7e-08,-0.1982,2,0.0,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-29 11:44:00+00:00,2026-06-29 11:46:00+00:00,3.934e-05,3.993e-05,3.993e-05,3.988e-05,5.9e-07,1.5063,1,100.0,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-29 15:16:00+00:00,2026-06-29 15:26:00+00:00,6.438e-05,6.12e-05,6.85e-05,7.946e-05,-3.18e-06,-4.9402,6,-77.15,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-29 17:37:00+00:00,2026-06-29 17:38:00+00:00,4.979e-05,5.29e-05,5.508e-05,5.028e-05,3.1e-06,6.2348,1,58.72,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-29 17:39:00+00:00,2026-06-29 17:40:00+00:00,5.167e-05,5.17e-05,5.29e-05,5.028e-05,3e-08,0.0531,1,2.25,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-29 17:42:00+00:00,2026-06-29 17:44:00+00:00,5.126e-05,5.471e-05,5.628e-05,5.028e-05,3.44e-06,6.7152,1,68.66,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-29 17:45:00+00:00,2026-06-29 17:46:00+00:00,5.459e-05,5.549e-05,5.589e-05,5.028e-05,8.9e-07,1.6381,1,69.1,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-29 18:01:00+00:00,2026-06-29 18:04:00+00:00,5.665e-05,5.657e-05,5.742e-05,5.549e-05,-8e-08,-0.1336,1,-9.77,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-29 18:05:00+00:00,2026-06-29 18:06:00+00:00,5.622e-05,5.579e-05,5.657e-05,5.549e-05,-4.3e-07,-0.7591,1,-100.0,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-29 18:09:00+00:00,2026-06-29 18:10:00+00:00,7.615e-05,7.462e-05,8.358e-05,5.549e-05,-1.53e-06,-2.0156,1,-20.68,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-30 01:20:00+00:00,2026-06-30 01:22:00+00:00,0.00017775,0.00016776,0.00017775,0.00020024,-9.99e-06,-5.6204,2,0.0,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-30 01:23:00+00:00,2026-06-30 01:29:00+00:00,0.00016509,0.00014032,0.00017032,0.00020024,-2.477e-05,-15.0026,6,-100.0,case3_bearish_volume
