ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,peak_capture,vpin_at_entry,exit_reason,status
BNZI,2026-03-18 08:31:00,,,,,,,,,,no_previous_day
AZI,2026-04-27 14:30:00+00:00,,1.3600000143051147,,,,,,0.0,,low_vpin
BARK,2026-03-20 08:55:00,,,,,,,,,,no_previous_day
CHR,2026-03-23 08:00:00,,,,,,,,,,no_previous_day
BTBD,2026-03-24 07:00:00,,,,,,,,,,no_previous_day
BTBD,2026-04-27 14:30:00+00:00,,1.809999942779541,,,,,,0.0,,low_vpin
BNRG,2026-04-27 14:45:00+00:00,,3.0450000762939453,,,,,,0.0,,low_vpin
BLRX,2026-03-25 21:01:00,,,,,,,,,,no_previous_day
ARTL,2026-03-27 10:30:00,,,,,,,,,,no_previous_day
ARTL,2026-03-27 10:40:00,,,,,,,,,,no_previous_day
AZI,2026-03-29 10:00:00,,,,,,,,,,no_previous_day
AMBO,2026-03-30 08:30:00,,,,,,,,,,no_previous_day
BGMS,2026-04-27 14:30:00+00:00,,0.9950000047683716,0.9799000024795532,2.240000009536743,-0.01510000228881836,-1.5175881624577001,-1.2128515848180794,1.0,volume_divergence,completed
ARTL,2026-04-27 14:30:00+00:00,,4.010000228881836,,,,,,2.3841880647523794e-05,,low_vpin
ANNA,2026-04-27 14:30:00+00:00,,3.809999942779541,3.9149999618530273,4.099899768829346,0.10500001907348633,2.755906053817019,36.21941430742609,0.6917782214111624,momentum_divergence,completed
BNZI,2026-04-27 14:30:00+00:00,,9.055999755859375,,,,,,0.14832365590171223,,low_vpin
BKTI,2026-04-27 14:30:00+00:00,,94.52999877929688,94.19499969482422,97.80999755859375,-0.33499908447265625,-0.354383887441692,-10.213390522799804,1.0,momentum_reversal,completed
BCG,2026-04-27 14:30:00+00:00,,1.9199999570846558,,,,,,0.3019200402773646,,low_vpin
AXIL,2026-04-01 08:00:00,,,,,,,,,,no_previous_day
AQMS,2026-04-01 08:30:00,,,,,,,,,,no_previous_day
BCG,2026-04-01 10:30:00,,,,,,,,,,no_previous_day
CHR,2026-04-02 08:00:00,,,,,,,,,,no_previous_day
AIOS,2026-04-27 15:15:00+00:00,,7.409999847412109,,,,,,0.0,,low_vpin
BBGI,2026-04-27 14:30:00+00:00,,22.799999237060547,22.010000228881836,24.989999771118164,-0.7899990081787109,-3.464908046552024,-36.07300527525473,0.5605948975606667,momentum_reversal,completed
CHR,2026-04-06 08:00:00,,,,,,,,,,no_previous_day
AQMS,2026-04-06 11:00:00,,,,,,,,,,no_previous_day
CETX,2026-04-07 10:30:00,,,,,,,,,,no_previous_day
BLRX,2026-04-08 02:30:00,,,,,,,,,,no_previous_day
BBGI,2026-04-08 07:00:00,,,,,,,,,,no_previous_day
AXIL,2026-04-08 08:10:00,,,,,,,,,,no_previous_day
BBGI,2026-04-27 14:30:00+00:00,,22.799999237060547,22.010000228881836,24.989999771118164,-0.7899990081787109,-3.464908046552024,-36.07300527525473,0.5605948975606667,momentum_reversal,completed
BCG,2026-04-27 14:30:00+00:00,,1.9199999570846558,,,,,,0.3019200402773646,,low_vpin
BENF,2026-04-10 07:30:00,,,,,,,,,,no_previous_day
BQ,2026-04-27 14:30:00+00:00,,0.7599999904632568,0.7655500173568726,1.2999999523162842,0.005550026893615723,0.7302667056920241,1.0277828306821775,1.0,volume_divergence,completed
CHR,2026-04-14 08:00:00,,,,,,,,,,no_previous_day
BTBD,2026-04-14 10:30:00,,,,,,,,,,no_previous_day
BTTC,2026-04-15 10:00:00,,,,,,,,,,no_previous_day
BELFA,2026-04-27 14:45:00+00:00,,237.4949951171875,234.4199981689453,276.2049865722656,-3.0749969482421875,-1.2947628419390007,-7.943677672496095,1.0,volume_divergence,completed
BTOG,2026-04-16 10:30:00,,,,,,,,,,no_previous_day
ACXP,2026-04-27 14:30:00+00:00,,2.0,,,,,,0.3333333333333333,,low_vpin
CABO,2026-04-27 14:30:00+00:00,,100.99500274658203,103.9000015258789,104.55000305175781,2.904998779296875,2.8763787319122467,81.71585175583364,1.0,momentum_divergence,completed
ASBP,2026-04-17 08:00:00,,,,,,,,,,no_previous_day
BDSX,2026-04-20 06:00:00,,,,,,,,,,no_previous_day
ACXP,2026-04-20 08:00:00,,,,,,,,,,no_previous_day
BKTI,2026-04-20 08:10:00,,,,,,,,,,no_previous_day
BKTI,2026-04-20 10:10:00,,,,,,,,,,no_previous_day
ARTL,2026-04-20 10:30:00,,,,,,,,,,no_previous_day
BNBX,2026-04-20 10:30:00,,,,,,,,,,no_previous_day
AMCI,2026-04-27 14:30:00+00:00,,6.920000076293945,7.0671000480651855,7.21999979019165,0.14709997177124023,2.1257221119861702,49.033370685613015,1.0,volume_divergence,completed
BIYA,2026-04-21 10:30:00,,,,,,,,,,no_previous_day
ADV,2026-04-22 07:00:00,,,,,,,,,,no_previous_day
BTTC,2026-04-23 00:00:00,,,,,,,,,,no_previous_day
AIHS,2026-04-23 08:00:00,,,,,,,,,,no_previous_day
BDSX,2026-04-23 12:33:00,,,,,,,,,,no_previous_day
ALGS,2026-04-24 08:00:00,,,,,,,,,,no_previous_day
ACXP,2026-04-27 08:00:00,,,,,,,,,,no_previous_day
ASBP,2026-04-27 08:30:00,,,,,,,,,,no_previous_day
ADTX,2026-04-27 10:30:00,,,,,,,,,,no_previous_day
CHSN,2026-04-27 10:30:00,,,,,,,,,,no_previous_day
AIRE,2026-04-27 19:45:00+00:00,,6.660000324249268,4.619999885559082,6.742499828338623,-2.0400004386901855,-30.63063572628489,-2472.742668223381,0.8359449850075478,momentum_reversal,completed
