ticker,status,div_composite,rsi_div_detected,rsi_score,rsi_delta,price_delta_pct,rsi_at_sw2,price_sw1,price_sw2,vol_div_detected,vol_score,vol_ratio,vol_sw1,vol_sw2,last_close,bars,sw1_time,sw2_time
MPLT,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
HYPD,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
ICU,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
BYAH,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
SGLY,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
LE,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
SCKT,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
AEMD,NO_DIV,0.0,False,0.0,,-4.33,49.12,0.78,0.7462,False,0.0,1.0,0.0,1341.0,0.756,78,2026-06-30 20:20,2026-07-01 16:35
CDTG,NO_DIV,0.0,False,0.0,-16.07,-4.37,36.26,2.06,1.97,False,0.0,3.31,200.0,662.0,2.16,78,2026-07-01 16:10,2026-07-01 19:30
ONCO,NO_DIV,0.0,False,0.0,-20.74,-7.14,31.27,1.12,1.04,False,0.0,2.0791,15214.0,31631.0,1.08,78,2026-07-01 16:20,2026-07-01 19:25
GOVX,NO_DIV,0.0,False,0.0,,-2.35,43.14,1.27,1.2401,False,0.0,1.0,0.0,13658.0,1.26,78,2026-07-01 11:40,2026-07-01 17:25
APUS,NO_DIV,0.0,False,0.0,-19.35,-6.58,39.77,0.9421,0.8801,False,0.0,35.5766,496.0,17646.0,0.885,78,2026-07-01 16:50,2026-07-01 19:25
BIVI,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
BETR,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
MTEN,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
BGMS,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
MSS,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
IDAI,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
PSIX,NO_DIV,0.0,False,0.0,,-2.85,21.37,37.56,36.49,False,0.0,2.8667,1688.0,4839.0,36.72,78,2026-07-01 13:35,2026-07-01 18:40
PLBL,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
