ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,bars_to_exit,peak_capture,signal_valid,hmm_fit_success,exit_reason,status
AIOS,2026-04-27 15:15:00+00:00,,7.409999847412109,7.409999847412109,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
AHMA,2026-02-05 07:30:00,,,,,,,,,False,False,,no_previous_day
BNBX,2026-02-05 08:00:00,,,,,,,,,False,False,,no_previous_day
ATPC,2026-02-05 09:00:00,,,,,,,,,False,False,,no_previous_day
ATPC,2026-02-06 11:00:00,,,,,,,,,False,False,,no_previous_day
BGDE,2026-02-07 10:30:00,,,,,,,,,False,False,,no_previous_day
AIRE,2026-02-09 08:30:00,,,,,,,,,False,False,,no_previous_day
CCHH,2026-02-10 00:03:00,,,,,,,,,False,False,,no_previous_day
AIOS,2026-02-10 06:15:00,,,,,,,,,False,False,,no_previous_day
BNKK,2026-02-10 08:50:00,,,,,,,,,False,False,,no_previous_day
AXIL,2026-04-27 15:15:00+00:00,,6.769999980926514,6.769999980926514,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BTTC,2026-02-11 00:00:00,,,,,,,,,False,False,,no_previous_day
AXIL,2026-02-11 04:56:00,,,,,,,,,False,False,,no_previous_day
BENF,2026-04-27 14:30:00+00:00,,3.434799909591675,3.434799909591675,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
AMBO,2026-04-27 14:30:00+00:00,,2.299999952316284,2.299999952316284,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CISS,2026-02-16 08:15:00,,,,,,,,,False,False,,no_previous_day
CETX,2026-04-27 14:30:00+00:00,,10.850000381469727,10.850000381469727,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BENF,2026-04-27 14:30:00+00:00,,3.434799909591675,3.434799909591675,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BENF,2026-02-18 00:02:00,,,,,,,,,False,False,,no_previous_day
ADVB,2026-02-18 07:00:00,,,,,,,,,False,False,,no_previous_day
CISS,2026-02-19 09:10:00,,,,,,,,,False,False,,no_previous_day
BJDX,2026-02-20 06:30:00,,,,,,,,,False,False,,no_previous_day
CISS,2026-02-20 08:30:00,,,,,,,,,False,False,,no_previous_day
AEMD,2026-02-23 08:01:00,,,,,,,,,False,False,,no_previous_day
BGLC,2026-02-23 08:30:00,,,,,,,,,False,False,,no_previous_day
ABTS,2026-02-23 09:00:00,,,,,,,,,False,False,,no_previous_day
ABTS,2026-02-24 09:11:00,,,,,,,,,False,False,,no_previous_day
ALGS,2026-02-26 08:00:00,,,,,,,,,False,False,,no_previous_day
APWC,2026-02-26 09:15:00,,,,,,,,,False,False,,no_previous_day
AIRE,2026-02-27 08:30:00,,,,,,,,,False,False,,no_previous_day
BH,2026-02-28 09:44:00,,,,,,,,,False,False,,no_previous_day
AERT,2026-03-02 08:00:00,,,,,,,,,False,False,,no_previous_day
BH,2026-03-03 00:58:00,,,,,,,,,False,False,,no_previous_day
ADV,2026-03-03 07:00:00,,,,,,,,,False,False,,no_previous_day
CLWT,2026-03-03 07:00:00,,,,,,,,,False,False,,no_previous_day
AEHL,2026-03-03 10:19:00,,,,,,,,,False,False,,no_previous_day
ADV,2026-03-03 11:18:00,,,,,,,,,False,False,,no_previous_day
ADV,2026-03-03 12:31:00,,,,,,,,,False,False,,no_previous_day
AERT,2026-03-04 08:00:00,,,,,,,,,False,False,,no_previous_day
AXIL,2026-03-04 08:00:00,,,,,,,,,False,False,,no_previous_day
BH,2026-03-04 11:01:00,,,,,,,,,False,False,,no_previous_day
BELFA,2026-04-27 14:45:00+00:00,,237.4949951171875,237.4949951171875,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BJDX,2026-03-06 06:30:00,,,,,,,,,False,False,,no_previous_day
ADIL,2026-03-06 08:00:00,,,,,,,,,False,False,,no_previous_day
AMCI,2026-03-06 08:30:00,,,,,,,,,False,False,,no_previous_day
ADV,2026-03-09 10:51:00,,,,,,,,,False,False,,no_previous_day
BNAI,2026-03-09 13:28:00,,,,,,,,,False,False,,no_previous_day
AZI,2026-04-27 14:30:00+00:00,,1.3600000143051147,1.3600000143051147,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
AZI,2026-03-09 21:19:00,,,,,,,,,False,False,,no_previous_day
BGLC,2026-03-11 08:45:00,,,,,,,,,False,False,,no_previous_day
BJDX,2026-03-12 06:30:00,,,,,,,,,False,False,,no_previous_day
BKTI,2026-03-12 07:05:00,,,,,,,,,False,False,,no_previous_day
BENF,2026-03-12 07:30:00,,,,,,,,,False,False,,no_previous_day
AXIL,2026-03-12 08:00:00,,,,,,,,,False,False,,no_previous_day
CETX,2026-03-12 08:00:00,,,,,,,,,False,False,,no_previous_day
BNRG,2026-03-12 08:07:00,,,,,,,,,False,False,,no_previous_day
BKTI,2026-03-12 12:49:00,,,,,,,,,False,False,,no_previous_day
BTTC,2026-03-13 10:00:00,,,,,,,,,False,False,,no_previous_day
AEMD,2026-03-13 12:02:00,,,,,,,,,False,False,,no_previous_day
