Symbol,SignalTimestamp,Close,Volume,RVOL,30m_pct,1h_pct,2h_pct,4h_pct,1d_pct
EEIQ,2026-05-04 09:45:00-04:00,4.09,259388,24.97,-16.63,-14.43,-22.74,-23.72,-25.92
EEIQ,2026-06-03 13:50:00-04:00,4.86,45658,24.31,-20.78,-22.63,-23.46,-24.18,-27.37
EHGO,2026-06-08 13:55:00-04:00,1.9,49672,8.33,-17.11,-15.26,-14.21,-13.68,-17.89
EHGO,2026-06-17 15:25:00-04:00,3.335,1533140,6.47,-13.64,-22.41,-31.48,-34.03,-43.33
EHGO,2026-06-23 13:55:00-04:00,4.9999,532990,16.48,-2.96,-17.2,-21.2,-1.0,-25.8
ELAB,2026-05-12 09:30:00-04:00,1.92,48321,16.15,-1.1,0.52,-1.02,-3.49,3.13
ELAB,2026-05-22 14:35:00-04:00,1.79,28769,10.02,-1.4,-2.05,2.23,-3.35,-2.23
ELAB,2026-06-29 09:30:00-04:00,1.2087,53084,9.96,-0.22,0.93,0.93,4.24,-1.13
ELAB,2026-07-21 15:55:00-04:00,1.06,179240,10.35,-3.76,-3.3,-3.3,-3.77,-2.83
ELOG,2026-06-05 14:30:00-04:00,1.1367,879396,14.25,-1.03,6.45,4.25,4.69,0.29
ELPW,2026-05-04 09:45:00-04:00,5.9,553476,30.07,2.37,45.08,40.17,27.97,1.19
ELPW,2026-05-28 09:55:00-04:00,0.8083,92292,7.32,-3.43,-1.34,-1.63,-2.19,-1.01
ELPW,2026-07-09 09:55:00-04:00,0.7999,2000816,5.48,-13.48,-10.68,-3.68,-20.24,-62.46
ELPW,2026-07-13 12:10:00-04:00,0.4291,10327434,7.18,-11.65,-15.01,-20.76,-28.92,-29.36
ELPW,2026-07-21 14:55:00-04:00,0.2955,2685628,40.12,-5.69,-8.9,-5.25,-8.22,-11.34
ENGS,2026-07-14 09:35:00-04:00,2.95,59960,10.55,-0.25,0.0,0.58,1.38,-8.47
ENVB,2026-05-05 09:30:00-04:00,3.62,568646,114.7,0.0,2.24,6.49,0.28,-11.6
EPSM,2026-06-09 14:50:00-04:00,3.01,3210489,6.71,6.31,-16.94,-40.2,-38.54,-40.53
