pair,entry_time,exit_time,entry_price,exit_price,peak_price,sw1_price,pnl,pnl_pct,bars_to_exit,peak_capture,exit_reason
AGLD_USDT,2026-06-28 04:59:00+00:00,2026-06-28 05:04:00+00:00,0.1841,0.1874,0.1876,0.1873,0.0033,1.7925,5,94.29,divergence_complete
AGLD_USDT,2026-06-28 05:00:00+00:00,2026-06-28 05:04:00+00:00,0.1846,0.1874,0.1876,0.1873,0.0028,1.5168,4,93.33,divergence_complete
AGLD_USDT,2026-06-28 05:01:00+00:00,2026-06-28 05:04:00+00:00,0.185,0.1874,0.1876,0.1873,0.0024,1.2973,3,92.31,divergence_complete
AGLD_USDT,2026-06-28 06:11:00+00:00,2026-06-28 06:24:00+00:00,0.1864,0.1872,0.1877,0.187,0.0008,0.4292,13,61.54,divergence_complete
AGLD_USDT,2026-06-28 06:12:00+00:00,2026-06-28 06:24:00+00:00,0.1858,0.1872,0.1877,0.187,0.0014,0.7535,12,73.68,divergence_complete
AGLD_USDT,2026-06-28 06:13:00+00:00,2026-06-28 06:24:00+00:00,0.1859,0.1872,0.1877,0.187,0.0013,0.6993,11,72.22,divergence_complete
AGLD_USDT,2026-06-28 06:14:00+00:00,2026-06-28 06:24:00+00:00,0.1858,0.1872,0.1877,0.187,0.0014,0.7535,10,73.68,divergence_complete
AGLD_USDT,2026-06-28 06:15:00+00:00,2026-06-28 06:24:00+00:00,0.1863,0.1872,0.1877,0.187,0.0009,0.4831,9,64.29,divergence_complete
AGLD_USDT,2026-06-28 06:16:00+00:00,2026-06-28 06:24:00+00:00,0.1859,0.1872,0.1877,0.187,0.0013,0.6993,8,72.22,divergence_complete
AGLD_USDT,2026-06-28 06:17:00+00:00,2026-06-28 06:24:00+00:00,0.1852,0.1872,0.1877,0.187,0.002,1.0799,7,80.0,divergence_complete
AGLD_USDT,2026-06-28 06:18:00+00:00,2026-06-28 06:24:00+00:00,0.1862,0.1872,0.1877,0.187,0.001,0.5371,6,66.67,divergence_complete
AGLD_USDT,2026-06-28 06:19:00+00:00,2026-06-28 06:24:00+00:00,0.1858,0.1872,0.1877,0.187,0.0014,0.7535,5,73.68,divergence_complete
EDGE_USDT,2026-06-28 04:24:00+00:00,2026-06-28 05:00:00+00:00,0.2923,0.2922,0.2924,0.2949,-0.0001,-0.0342,36,0.0,bearish_vol_divergence
EDGE_USDT,2026-06-28 04:25:00+00:00,2026-06-28 05:00:00+00:00,0.2923,0.2922,0.2924,0.2949,-0.0001,-0.0342,35,0.0,bearish_vol_divergence
EDGE_USDT,2026-06-28 04:26:00+00:00,2026-06-28 05:00:00+00:00,0.2923,0.2922,0.2923,0.2949,-0.0001,-0.0342,34,0.0,bearish_vol_divergence
PORTAL_USDT,2026-06-27 16:54:00+00:00,2026-06-27 16:55:00+00:00,0.01333,0.01333,0.01333,0.0133,0.0,0.0,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 16:55:00+00:00,2026-06-27 16:56:00+00:00,0.01333,0.01333,0.01333,0.0133,0.0,0.0,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 16:56:00+00:00,2026-06-27 16:57:00+00:00,0.01333,0.01333,0.01333,0.0133,0.0,0.0,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 16:57:00+00:00,2026-06-27 17:06:00+00:00,0.01333,0.01334,0.01334,0.0133,1e-05,0.075,9,0.0,divergence_complete
PORTAL_USDT,2026-06-27 16:58:00+00:00,2026-06-27 17:06:00+00:00,0.01325,0.01334,0.01334,0.0133,9e-05,0.6792,8,100.0,divergence_complete
PORTAL_USDT,2026-06-27 16:59:00+00:00,2026-06-27 17:06:00+00:00,0.01325,0.01334,0.01334,0.0133,9e-05,0.6792,7,100.0,divergence_complete
PORTAL_USDT,2026-06-27 17:00:00+00:00,2026-06-27 17:06:00+00:00,0.01328,0.01334,0.01334,0.0133,6e-05,0.4518,6,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:01:00+00:00,2026-06-27 17:06:00+00:00,0.01328,0.01334,0.01334,0.0133,6e-05,0.4518,5,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:02:00+00:00,2026-06-27 17:06:00+00:00,0.01322,0.01334,0.01334,0.0133,0.00012,0.9077,4,100.0,divergence_complete
PORTAL_USDT,2026-06-27 17:03:00+00:00,2026-06-27 17:06:00+00:00,0.01322,0.01334,0.01334,0.0133,0.00012,0.9077,3,100.0,divergence_complete
PORTAL_USDT,2026-06-27 17:04:00+00:00,2026-06-27 17:06:00+00:00,0.01322,0.01334,0.01334,0.0133,0.00012,0.9077,2,100.0,divergence_complete
PORTAL_USDT,2026-06-27 17:05:00+00:00,2026-06-27 17:06:00+00:00,0.0133,0.01334,0.01334,0.0133,4e-05,0.3008,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:06:00+00:00,2026-06-27 17:07:00+00:00,0.01334,0.01334,0.01334,0.0133,0.0,0.0,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:07:00+00:00,2026-06-27 17:08:00+00:00,0.01334,0.01339,0.01339,0.0133,5e-05,0.3748,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:08:00+00:00,2026-06-27 17:09:00+00:00,0.01339,0.01339,0.01339,0.0133,0.0,0.0,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:09:00+00:00,2026-06-27 17:10:00+00:00,0.01339,0.0134,0.0134,0.0133,1e-05,0.0747,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:10:00+00:00,2026-06-27 17:11:00+00:00,0.0134,0.0134,0.0134,0.0133,0.0,0.0,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:11:00+00:00,2026-06-27 17:12:00+00:00,0.0134,0.0134,0.0134,0.0133,0.0,0.0,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:12:00+00:00,2026-06-27 17:13:00+00:00,0.0134,0.0134,0.0134,0.0133,0.0,0.0,1,0.0,divergence_complete
PORTAL_USDT,2026-06-27 17:13:00+00:00,2026-06-27 17:14:00+00:00,0.0134,0.0134,0.0134,0.0133,0.0,0.0,1,0.0,divergence_complete
