ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,p_burst_sig,pct_return
SOL/USDT,2026-05-11 14:15:00+00:00,2026-05-11 14:30:00+00:00,94.77,2026-05-11 15:30:00+00:00,96.79,time_stop,5,0.4461,2.1315
CRV/USDT,2026-05-11 15:15:00+00:00,2026-05-11 15:30:00+00:00,0.2726,2026-05-11 16:00:00+00:00,0.2725,event,3,0.4225,-0.0367
EGLD/USDT,2026-05-11 15:45:00+00:00,2026-05-11 16:00:00+00:00,4.823,2026-05-11 17:00:00+00:00,4.825,time_stop,5,0.4006,0.0415
SOL/USDT,2026-05-11 15:45:00+00:00,2026-05-11 16:00:00+00:00,96.8,2026-05-11 16:00:00+00:00,97.42,event,1,0.4759,0.6405
CRV/USDT,2026-05-12 07:15:00+00:00,2026-05-12 07:30:00+00:00,0.286,2026-05-12 08:30:00+00:00,0.2857,time_stop,5,0.4098,-0.1049
YFI/USDT,2026-05-12 10:15:00+00:00,2026-05-12 10:30:00+00:00,2776.0,2026-05-12 11:30:00+00:00,2757.0,time_stop,5,0.4041,-0.6844
KNC/USDT,2026-05-12 11:15:00+00:00,2026-05-12 11:30:00+00:00,0.1536,2026-05-12 12:30:00+00:00,0.154,time_stop,5,0.444,0.2604
YFI/USDT,2026-05-12 12:15:00+00:00,2026-05-12 12:30:00+00:00,2766.0,2026-05-12 13:30:00+00:00,2768.0,time_stop,5,0.4453,0.0723
DYDX/USDT,2026-05-12 13:45:00+00:00,2026-05-12 14:00:00+00:00,0.16061,2026-05-12 15:00:00+00:00,0.158,time_stop,5,0.4516,-1.6251
UMA/USDT,2026-05-12 16:45:00+00:00,2026-05-12 17:00:00+00:00,0.5086,2026-05-12 18:00:00+00:00,0.5141,time_stop,5,0.4502,1.0814
ONE/USDT,2026-05-12 17:45:00+00:00,2026-05-12 18:00:00+00:00,0.002451,2026-05-12 19:00:00+00:00,0.002471,time_stop,5,0.4764,0.816
KNC/USDT,2026-05-12 23:15:00+00:00,2026-05-12 23:30:00+00:00,0.1512,2026-05-13 00:30:00+00:00,0.1514,time_stop,5,0.4294,0.1323
DOGE/USDT,2026-05-13 07:15:00+00:00,2026-05-13 07:30:00+00:00,0.11198,2026-05-13 08:30:00+00:00,0.11232,time_stop,5,0.4688,0.3036
KNC/USDT,2026-05-13 08:45:00+00:00,2026-05-13 09:00:00+00:00,0.1557,2026-05-13 10:00:00+00:00,0.1542,time_stop,5,0.4825,-0.9634
SUSHI/USDT,2026-05-13 09:15:00+00:00,2026-05-13 09:30:00+00:00,0.2489,2026-05-13 10:30:00+00:00,0.246,time_stop,5,0.4893,-1.1651
DOGE/USDT,2026-05-13 10:15:00+00:00,2026-05-13 10:30:00+00:00,0.11375,2026-05-13 11:30:00+00:00,0.11269,time_stop,5,0.4706,-0.9319
INJ/USDT,2026-05-13 10:45:00+00:00,2026-05-13 11:00:00+00:00,5.911,2026-05-13 12:00:00+00:00,5.847,time_stop,5,0.4986,-1.0827
SAND/USDT,2026-05-13 11:45:00+00:00,2026-05-13 12:00:00+00:00,0.0803,2026-05-13 12:30:00+00:00,0.0784,event,3,0.4664,-2.3661
COMP/USDT,2026-05-13 12:15:00+00:00,2026-05-13 12:30:00+00:00,23.42,2026-05-13 13:30:00+00:00,22.91,time_stop,5,0.4664,-2.1776
AVAX/USDT,2026-05-13 13:45:00+00:00,2026-05-13 14:00:00+00:00,9.765,2026-05-13 15:00:00+00:00,9.703,time_stop,5,0.4346,-0.6349
ETH/USDT,2026-05-13 13:45:00+00:00,2026-05-13 14:00:00+00:00,2262.46,2026-05-13 15:00:00+00:00,2253.71,time_stop,5,0.4614,-0.3867
COMP/USDT,2026-05-13 15:15:00+00:00,2026-05-13 15:30:00+00:00,22.79,2026-05-13 16:30:00+00:00,22.8,time_stop,5,0.4279,0.0439
KNC/USDT,2026-05-14 12:45:00+00:00,2026-05-14 13:00:00+00:00,0.1462,2026-05-14 14:00:00+00:00,0.1462,time_stop,5,0.4444,0.0
AVAX/USDT,2026-05-14 15:15:00+00:00,2026-05-14 15:30:00+00:00,10.035,2026-05-14 16:30:00+00:00,10.052,time_stop,5,0.4323,0.1694
XLM/USDT,2026-05-14 15:15:00+00:00,2026-05-14 15:30:00+00:00,0.16422,2026-05-14 16:30:00+00:00,0.16374,time_stop,5,0.408,-0.2923
UNI/USDT,2026-05-14 15:15:00+00:00,2026-05-14 15:30:00+00:00,3.737,2026-05-14 16:30:00+00:00,3.788,time_stop,5,0.4655,1.3647
NEAR/USDT,2026-05-14 15:45:00+00:00,2026-05-14 16:00:00+00:00,1.617,2026-05-14 17:00:00+00:00,1.589,time_stop,5,0.4555,-1.7316
ETH/USDT,2026-05-14 16:15:00+00:00,2026-05-14 16:30:00+00:00,2306.37,2026-05-14 17:30:00+00:00,2308.24,time_stop,5,0.4532,0.0811
ZIL/USDT,2026-05-14 17:45:00+00:00,2026-05-14 18:00:00+00:00,0.00423,2026-05-14 19:00:00+00:00,0.004242,time_stop,5,0.4029,0.2837
CRV/USDT,2026-05-14 23:15:00+00:00,2026-05-14 23:30:00+00:00,0.2793,2026-05-15 00:30:00+00:00,0.2762,time_stop,5,0.459,-1.1099
DOT/USDT,2026-05-15 02:45:00+00:00,2026-05-15 03:00:00+00:00,1.362,2026-05-15 04:00:00+00:00,1.354,time_stop,5,0.4443,-0.5874
PEPE/USDT,2026-05-15 02:45:00+00:00,2026-05-15 03:00:00+00:00,4.09e-06,2026-05-15 04:00:00+00:00,4.06e-06,time_stop,5,0.4031,-0.8547
SAND/USDT,2026-05-15 05:45:00+00:00,2026-05-15 06:00:00+00:00,0.0767,2026-05-15 07:00:00+00:00,0.07811,time_stop,5,0.4667,1.8383
NEAR/USDT,2026-05-15 08:15:00+00:00,2026-05-15 08:30:00+00:00,1.557,2026-05-15 09:30:00+00:00,1.545,time_stop,5,0.4789,-0.7707
ETC/USDT,2026-05-15 14:15:00+00:00,2026-05-15 14:30:00+00:00,8.996,2026-05-15 15:30:00+00:00,9.03,time_stop,5,0.4663,0.3779
BONK/USDT,2026-05-15 16:15:00+00:00,2026-05-15 16:30:00+00:00,6.58e-06,2026-05-15 17:30:00+00:00,6.61e-06,time_stop,5,0.4682,0.4561
XLM/USDT,2026-05-16 07:15:00+00:00,2026-05-16 07:30:00+00:00,0.15157,2026-05-16 08:30:00+00:00,0.15204,time_stop,5,0.4002,0.3101
COMP/USDT,2026-05-16 07:15:00+00:00,2026-05-16 07:30:00+00:00,21.54,2026-05-16 08:30:00+00:00,21.57,time_stop,5,0.4114,0.1393
XRP/USDT,2026-05-16 09:15:00+00:00,2026-05-16 09:30:00+00:00,1.406,2026-05-16 10:30:00+00:00,1.4072,time_stop,5,0.469,0.0853
ALGO/USDT,2026-05-16 09:15:00+00:00,2026-05-16 09:30:00+00:00,0.10968,2026-05-16 10:30:00+00:00,0.11024,time_stop,5,0.4924,0.5106
AXS/USDT,2026-05-16 09:15:00+00:00,2026-05-16 09:30:00+00:00,1.1555,2026-05-16 10:30:00+00:00,1.1577,time_stop,5,0.4272,0.1904
NEAR/USDT,2026-05-16 10:45:00+00:00,2026-05-16 11:00:00+00:00,1.497,2026-05-16 12:00:00+00:00,1.497,time_stop,5,0.4915,0.0
ONE/USDT,2026-05-16 15:45:00+00:00,2026-05-16 16:00:00+00:00,0.002135,2026-05-16 17:00:00+00:00,0.00213,time_stop,5,0.4292,-0.2342
CHZ/USDT,2026-05-16 16:45:00+00:00,2026-05-16 17:00:00+00:00,0.04672,2026-05-16 18:00:00+00:00,0.04791,time_stop,5,0.4557,2.5471
ETH/USDT,2026-05-17 00:45:00+00:00,2026-05-17 01:00:00+00:00,2177.67,2026-05-17 02:00:00+00:00,2174.86,time_stop,5,0.408,-0.129
BTC/USDT,2026-05-17 10:15:00+00:00,2026-05-17 10:30:00+00:00,78533.2,2026-05-17 11:30:00+00:00,78412.7,time_stop,5,0.432,-0.1534
SNX/USDT,2026-05-17 16:45:00+00:00,2026-05-17 17:00:00+00:00,0.3123,2026-05-17 18:00:00+00:00,0.3136,time_stop,5,0.4598,0.4163
XRP/USDT,2026-05-17 19:45:00+00:00,2026-05-17 20:00:00+00:00,1.4223,2026-05-17 21:00:00+00:00,1.424,time_stop,5,0.4733,0.1195
BNB/USDT,2026-05-17 21:15:00+00:00,2026-05-17 21:30:00+00:00,656.9,2026-05-17 22:30:00+00:00,653.8,time_stop,5,0.4347,-0.4719
UNI/USDT,2026-05-17 22:15:00+00:00,2026-05-17 22:30:00+00:00,3.537,2026-05-17 23:30:00+00:00,3.473,event,5,0.4313,-1.8094
XRP/USDT,2026-05-17 23:15:00+00:00,2026-05-17 23:30:00+00:00,1.4058,2026-05-17 23:30:00+00:00,1.4016,event,1,0.4047,-0.2988
KNC/USDT,2026-05-17 23:45:00+00:00,2026-05-18 00:00:00+00:00,0.139,2026-05-18 01:00:00+00:00,0.1411,time_stop,5,0.4528,1.5108
ZIL/USDT,2026-05-17 23:45:00+00:00,2026-05-18 00:00:00+00:00,0.003887,2026-05-18 01:00:00+00:00,0.003884,time_stop,5,0.4006,-0.0772
INJ/USDT,2026-05-18 01:45:00+00:00,2026-05-18 02:00:00+00:00,4.628,2026-05-18 03:00:00+00:00,4.632,time_stop,5,0.4043,0.0864
YFI/USDT,2026-05-18 04:15:00+00:00,2026-05-18 04:30:00+00:00,2478.0,2026-05-18 05:00:00+00:00,2499.0,event,3,0.4569,0.8475
PEPE/USDT,2026-05-18 06:15:00+00:00,2026-05-18 06:30:00+00:00,3.62e-06,2026-05-18 07:30:00+00:00,3.63e-06,time_stop,5,0.4066,0.3036
GALA/USDT,2026-05-18 06:15:00+00:00,2026-05-18 06:30:00+00:00,0.003298,2026-05-18 07:30:00+00:00,0.003288,time_stop,5,0.4387,-0.3032
ARB/USDT,2026-05-18 11:45:00+00:00,2026-05-18 12:00:00+00:00,0.11625,2026-05-18 13:00:00+00:00,0.11625,time_stop,5,0.4021,0.0
ALGO/USDT,2026-05-18 12:45:00+00:00,2026-05-18 13:00:00+00:00,0.10752,2026-05-18 14:00:00+00:00,0.10633,time_stop,5,0.4664,-1.1068
ARB/USDT,2026-05-18 14:15:00+00:00,2026-05-18 14:30:00+00:00,0.11539,2026-05-18 15:30:00+00:00,0.11525,time_stop,5,0.449,-0.1213
INJ/USDT,2026-05-18 21:15:00+00:00,2026-05-18 21:30:00+00:00,4.941,2026-05-18 22:30:00+00:00,5.012,time_stop,5,0.4278,1.437
YFI/USDT,2026-05-19 01:15:00+00:00,2026-05-19 01:30:00+00:00,2488.0,2026-05-19 02:30:00+00:00,2483.0,time_stop,5,0.4412,-0.201
NEAR/USDT,2026-05-19 06:45:00+00:00,2026-05-19 07:00:00+00:00,1.643,2026-05-19 08:00:00+00:00,1.643,time_stop,5,0.4383,0.0
ENJ/USDT,2026-05-19 13:15:00+00:00,2026-05-19 13:30:00+00:00,0.04507,2026-05-19 14:00:00+00:00,0.04696,event,3,0.4893,4.1935
KNC/USDT,2026-05-19 17:15:00+00:00,2026-05-19 17:30:00+00:00,0.1425,2026-05-19 18:30:00+00:00,0.1422,time_stop,5,0.4671,-0.2105
ALGO/USDT,2026-05-20 01:15:00+00:00,2026-05-20 01:30:00+00:00,0.1133,2026-05-20 02:30:00+00:00,0.11658,time_stop,5,0.4135,2.895
GALA/USDT,2026-05-20 03:15:00+00:00,2026-05-20 03:30:00+00:00,0.003326,2026-05-20 04:30:00+00:00,0.003329,time_stop,5,0.4129,0.0902
ZRX/USDT,2026-05-20 04:15:00+00:00,2026-05-20 04:30:00+00:00,0.10432,2026-05-20 05:30:00+00:00,0.10486,time_stop,5,0.4926,0.5176
ONE/USDT,2026-05-20 04:45:00+00:00,2026-05-20 05:00:00+00:00,0.001939,2026-05-20 06:00:00+00:00,0.001986,time_stop,5,0.4094,2.4239
NEAR/USDT,2026-05-20 07:15:00+00:00,2026-05-20 07:30:00+00:00,1.663,2026-05-20 08:30:00+00:00,1.656,time_stop,5,0.4247,-0.4209
CHZ/USDT,2026-05-20 12:45:00+00:00,2026-05-20 13:00:00+00:00,0.04492,2026-05-20 14:00:00+00:00,0.04489,time_stop,5,0.4684,-0.0668
NEAR/USDT,2026-05-20 15:15:00+00:00,2026-05-20 15:30:00+00:00,1.704,2026-05-20 16:30:00+00:00,1.684,time_stop,5,0.4567,-1.1737
ETC/USDT,2026-05-20 19:45:00+00:00,2026-05-20 20:00:00+00:00,9.038,2026-05-20 21:00:00+00:00,9.04,time_stop,5,0.4285,0.0221
INJ/USDT,2026-05-20 22:15:00+00:00,2026-05-20 22:30:00+00:00,4.862,2026-05-20 23:00:00+00:00,4.797,event,3,0.4946,-1.3369
PEPE/USDT,2026-05-21 02:15:00+00:00,2026-05-21 02:30:00+00:00,3.76e-06,2026-05-21 03:30:00+00:00,3.78e-06,time_stop,5,0.453,0.4254
AAVE/USDT,2026-05-21 10:15:00+00:00,2026-05-21 10:30:00+00:00,87.93,2026-05-21 11:30:00+00:00,87.98,time_stop,5,0.4609,0.0569
