ticker,n_trades,n_win,n_loss,win_rate,mean_ret,median_ret,mean_win,mean_loss,profit_factor,total_pct,cum_peak,max_drawdown,sharpe_proxy
BCH/USDT,357,156,201,0.437,-0.0124,-0.0235,0.2743,-0.235,0.906,-4.4426,2.2525,-10.1419,-0.036
UMA/USDT,485,204,281,0.4206,-0.0095,0.0,0.4185,-0.3202,0.949,-4.6013,1.996,-13.8187,-0.0179
LTC/USDT,410,181,229,0.4415,-0.0118,-0.0181,0.2676,-0.2327,0.909,-4.8563,-0.2079,-8.6385,-0.0315
SOL/USDT,207,91,116,0.4396,-0.0252,-0.0338,0.2562,-0.2459,0.817,-5.2066,1.2088,-7.1381,-0.0744
XRP/USDT,274,126,148,0.4599,-0.0207,-0.0318,0.2321,-0.2359,0.838,-5.6682,0.2352,-8.2528,-0.0625
SNX/USDT,484,220,264,0.4545,-0.0131,-0.0149,0.4064,-0.3626,0.934,-6.3199,0.6309,-13.1532,-0.024
DYDX/USDT,440,198,242,0.45,-0.0156,-0.0396,0.5396,-0.4699,0.94,-6.8611,3.1566,-15.6296,-0.0224
GMT/USDT,529,242,287,0.4575,-0.0132,0.0,0.4354,-0.3915,0.938,-6.9911,5.2545,-16.602,-0.0228
ETH/USDT,280,125,155,0.4464,-0.0263,-0.0366,0.2049,-0.2126,0.777,-7.3524,5.3904,-12.9673,-0.0881
SUSHI/USDT,480,214,266,0.4458,-0.0161,0.0,0.4529,-0.3933,0.926,-7.7096,0.0704,-19.2723,-0.0272
AXS/USDT,432,207,225,0.4792,-0.019,-0.0175,0.4382,-0.4396,0.917,-8.2091,10.8564,-20.0238,-0.0306
BNB/USDT,400,192,208,0.48,-0.0212,0.0,0.213,-0.2375,0.828,-8.4944,0.2959,-10.3041,-0.0617
ATOM/USDT,482,216,266,0.4481,-0.0181,-0.0493,0.3799,-0.3413,0.904,-8.7308,3.3873,-19.1879,-0.0359
BLUR/USDT,471,208,263,0.4416,-0.0212,0.0,0.4927,-0.4277,0.911,-10.0078,8.8695,-19.0077,-0.0319
SHIB/USDT,530,243,287,0.4585,-0.0192,-0.0236,0.3082,-0.2963,0.881,-10.1495,-0.3651,-10.9993,-0.0454
NEAR/USDT,338,142,196,0.4201,-0.0315,-0.0316,0.5512,-0.4537,0.88,-10.6477,-0.4071,-18.6356,-0.0435
ZRX/USDT,450,182,268,0.4044,-0.0262,0.0,0.372,-0.2965,0.852,-11.7714,1.9728,-20.3541,-0.0553
AVAX/USDT,425,195,230,0.4588,-0.0314,-0.0211,0.2849,-0.2996,0.806,-13.3442,0.546,-14.0705,-0.076
EGLD/USDT,587,232,355,0.3952,-0.023,-0.025,0.383,-0.2883,0.868,-13.5055,1.5429,-22.7579,-0.05
ENJ/USDT,448,194,254,0.433,-0.0315,-0.0249,0.5394,-0.4676,0.881,-14.1173,7.381,-22.0748,-0.0428
MINA/USDT,537,246,291,0.4581,-0.0276,0.0,0.3722,-0.3655,0.861,-14.798,1.5738,-17.9823,-0.053
BNT/USDT,176,22,154,0.125,-0.0998,0.0,0.662,-0.2086,0.453,-17.5635,0.0,-18.5451,-0.173
OP/USDT,375,167,208,0.4453,-0.0481,0.0,0.4435,-0.4429,0.804,-18.056,0.0617,-22.8595,-0.0757
ONE/USDT,547,218,329,0.3985,-0.0418,0.0,0.4753,-0.3844,0.819,-22.8391,1.0832,-24.4763,-0.0691
