ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,bars_to_exit,peak_capture,vol_div,rsi_div,bb_squeeze,exit_reason
1INCH/USDT,2026-04-14 11:55:00+00:00,2026-04-14 12:45:00+00:00,0.0949,0.09439,0.09497,-0.00051,-0.5374,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-20 10:50:00+00:00,2026-04-20 12:35:00+00:00,0.09379,0.09378,0.0942,-1e-05,-0.0107,21,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-23 19:55:00+00:00,2026-04-23 22:30:00+00:00,0.09474,0.09571,0.09579,0.00097,1.0239,31,92.38,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-26 08:35:00+00:00,2026-04-26 09:25:00+00:00,0.09643,0.09625,0.09657,-0.00018,-0.1867,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-30 18:45:00+00:00,2026-04-30 19:35:00+00:00,0.09237,0.09241,0.09259,4e-05,0.0433,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-05-07 03:45:00+00:00,2026-05-07 04:35:00+00:00,0.09726,0.09769,0.09769,0.00043,0.4421,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-05-15 16:05:00+00:00,2026-05-15 16:55:00+00:00,0.09536,0.096,0.09609,0.00064,0.6711,10,87.67,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-05-19 16:10:00+00:00,2026-05-19 17:50:00+00:00,0.09081,0.09144,0.09188,0.00063,0.6938,20,58.88,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-05-26 21:00:00+00:00,2026-05-26 21:50:00+00:00,0.08886,0.08918,0.08918,0.00032,0.3601,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-05-27 00:15:00+00:00,2026-05-27 01:25:00+00:00,0.08906,0.08928,0.08956,0.00022,0.247,14,44.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-05-28 05:40:00+00:00,2026-05-28 06:30:00+00:00,0.08403,0.08383,0.08407,-0.0002,-0.238,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-05-28 06:35:00+00:00,2026-05-28 08:20:00+00:00,0.0838,0.08434,0.08486,0.00054,0.6444,21,50.94,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-05-31 04:30:00+00:00,2026-05-31 05:30:00+00:00,0.08734,0.08719,0.08747,-0.00015,-0.1717,12,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-06-08 02:55:00+00:00,2026-06-08 03:45:00+00:00,0.07063,0.07052,0.07085,-0.00011,-0.1557,10,0.0,True,True,True,bearish_vol_divergence
